"sub","name","size"
"National Aeronautics and Space Administration","STREAMLINE NUMERICS INC",999686
"National Aeronautics and Space Administration","SPACE ADVENTURES INC",999447
"National Aeronautics and Space Administration","SILICON SPACE TECHNOLOGY CORPORATION",999144
"National Aeronautics and Space Administration","SOUTHWEST SCIENCES INC",998967
"National Aeronautics and Space Administration","CONTINUUM DYNAMICS INC",998086
"National Aeronautics and Space Administration","ZENETEX LLC",997218.58
"National Aeronautics and Space Administration","COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION",993747
"National Aeronautics and Space Administration","NAVAR INC",992355.19
"National Agricultural Statistics Service","ACCENTURE FEDERAL SERVICES LLC",985999.74
"National Agricultural Statistics Service","STG INC",682762.32
"National Agricultural Statistics Service","FOUR LLC",640244.62
"National Agricultural Statistics Service","UNITED PARCEL SERVICE CO",625000
"National Agricultural Statistics Service","DSFEDERAL INC",483970.84
"National Agricultural Statistics Service","FCN INC",370512.67
"National Agricultural Statistics Service","EXECUTIVE INFORMATION SYSTEMS LLC",359755.42
"National Agricultural Statistics Service","SECURITYHUNTER INC",319952
"National Agricultural Statistics Service","DELL MARKETING LP",253605.42
"National Agricultural Statistics Service","LEXMARK INTERNATIONAL INC",253303.02
"National Appeals Division","MICROPACT FEDERAL LLC",433240
"National Appeals Division","CONTRACT SOLUTIONS INC",244340
"National Appeals Division","WEST PUBLISHING CORPORATION",59664
"National Appeals Division","US TRANSLATION COMPANY",50000
"National Appeals Division","MID-ATLANTIC PARKING SERVICES INC",26400
"National Archives and Records Administration","HONEYWELL INTERNATIONAL INC",996667.78
"National Archives and Records Administration","VION CORPORATION",982003.58
"National Archives and Records Administration","ACME TECHNOLOGIES INC",963144.1
"National Archives and Records Administration","DYNAMIC SYSTEMS INC",939538.05
"National Archives and Records Administration","GOODWILL INDUSTRIES OF NORTH GEORGIA INC",920606.39
"National Archives and Records Administration","ADC LTD NM",868345.66
"National Archives and Records Administration","A-ACTION JANITORIAL SERVICE INC",836340
"National Archives and Records Administration","HOPE NETWORK SERVICES CORP",833977.66
"National Archives and Records Administration","SERVICE SOURCE INC",791656.9
"National Archives and Records Administration","GATEWAY COMMUNITY INDUSTRIES",763230.83
"National Endowment for the Arts","QUALITY SOFTWARE SERVICES INC",566527.74
"National Endowment for the Arts","TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES TJFACT LLC",520894.4
"National Endowment for the Arts","ADS FEDERAL INC",436412.49
"National Endowment for the Arts","SYSTEMS SUPPORT ALTERNATIVES INC",410301.72
"National Endowment for the Arts","QWEST GOVERNMENT SERVICES INC",239545.25
"National Endowment for the Arts","SHI INTERNATIONAL CORP",148265.08
"National Endowment for the Arts","BELL JAMES ASSOCIATES INC",147850.14
"National Endowment for the Arts","WILLIAMS ADLEY & COMPANY - DC LLP",135120.29
"National Endowment for the Arts","REGENTS OF THE UNIVERSITY OF MICHIGAN",125515
"National Endowment for the Arts","INTERPERSONAL FREQUENCY LLC",86400
"National Endowment for the Humanities","ORACLE AMERICA INC",411553.84
"National Endowment for the Humanities","HPI FEDERAL LLC",297619.42
"National Endowment for the Humanities","CREATIVE OPTIONS OF DISTRICT OF COLUMBIA INC",258529.87
"National Endowment for the Humanities","SYSTEMS SUPPORT ALTERNATIVES INC",226285.68
"National Endowment for the Humanities","SHI INTERNATIONAL CORP",163097.44
"National Endowment for the Humanities","AT&T CORP",144787.79
"National Endowment for the Humanities","FORUM ONE COMMUNICATIONS CORPORATION",106161.7
"National Endowment for the Humanities","AT&T GOVERNMENT SOLUTIONS INC",101835.88
"National Endowment for the Humanities","CHOICE FOR TEMPORARIES INC THE",99399.39
"National Endowment for the Humanities","HEWLETT PACKARD ENTERPRISE COMPANY",94814
"National Gallery of Art","AES ELECTRICAL INC",982147.63
"National Gallery of Art","INTELLIPOINT CONSULTING INC",747349.76
"National Gallery of Art","HENKELS & MCCOY INC",732410
"National Gallery of Art","ASSOCIATED BUILDERS INC",693867
"National Gallery of Art","CARAHSOFT TECHNOLOGY CORP",632120.26
"National Gallery of Art","KANDELLEN GROUP LLC THE",499459.94
"National Gallery of Art","AMAZON WEB SERVICES INC",470000
"National Gallery of Art","ELCON ENTERPRISES INCORPORATED",467204.43
"National Gallery of Art","CONCUR TECHNOLOGIES INC",428363.62
"National Gallery of Art","JE RICHARDS INCORPORATED",349081
"National Geospatial-Intelligence Agency","LEVEL 3 COMMUNICATIONS LLC",773908.25
"National Geospatial-Intelligence Agency","ZEL TECHNOLOGIES LLC",407000
"National Geospatial-Intelligence Agency","AT&T CORP",269201.04
"National Geospatial-Intelligence Agency","GOLDBELT WOLF LLC",263048.2
"National Geospatial-Intelligence Agency","ONE VOICE COMMUNICATIONS INC",203098.22
"National Geospatial-Intelligence Agency","GTT GLOBAL TELECOM GOVERNMENT SERVICES LLC",147405.84
"National Geospatial-Intelligence Agency","MCI COMMUNICATIONS SERVICES INC",118949.35
"National Geospatial-Intelligence Agency","BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY",76749.14
"National Geospatial-Intelligence Agency","PERATON GOVERNMENT COMMUNICATIONS INC",72320.64
"National Geospatial-Intelligence Agency","QWEST GOVERNMENT SERVICES INC",46620.33
"National Highway Traffic Safety Administration","PREUSSER RESEARCH GROUP INC",968506
"National Highway Traffic Safety Administration","EMORY UNIVERSITY",948341
"National Highway Traffic Safety Administration","TRAFFIC SAFETY ANALYSIS SYSTEMS & SERVICES INC",830271.3
"National Highway Traffic Safety Administration","ICF MACRO INC",807558.75
"National Highway Traffic Safety Administration","PHASE ONE CONSULTING GROUP LLC",801997.13
"National Highway Traffic Safety Administration","ICF INCORPORATED LLC",794437
"National Highway Traffic Safety Administration","CTR MANAGEMENT GROUP LLC",767584.38
"National Highway Traffic Safety Administration","ACCENTURE FEDERAL SERVICES LLC",750000
"National Highway Traffic Safety Administration","INTERNATIONAL BUSINESS MACHINES CORPORATION",749587.44
"National Highway Traffic Safety Administration","DYNAMIC SCIENCE INC",709859
"National Indian Gaming Commission","CELLCO PARTNERSHIP",183709.8
"National Indian Gaming Commission","FURNITURESPEAK INC",144779.65
"National Indian Gaming Commission","FOUR LLC",56293.58
"National Indian Gaming Commission","BUILDING 4 FABRICATION LLC",53500
"National Indian Gaming Commission","STUART L PLOTNICK LLC LAW OFFICES OF",36000
"National Indian Gaming Commission","NORTHROP GRUMMAN SYSTEMS CORPORATION",35529.95
"National Indian Gaming Commission","STRATCOMM INC",34075.89
"National Indian Gaming Commission","CYNERGY PROFESSIONAL SYSTEMS LLC",33344.12
"National Indian Gaming Commission","PROJECT MANAGER USA INC",26384.4
"National Indian Gaming Commission","BUILDING INFRASTRUCTURE GROUP INC",23441.35
"National Institute of Food and Agriculture","LARTA INC",729537.46
"National Institute of Food and Agriculture","FM TALENT SOURCE LLC",626644.8
"National Institute of Food and Agriculture","CHAISE MANAGEMENT GROUP LLC",472287.2
"National Institute of Food and Agriculture","USMAX CORPORATION",454358.4
"National Institute of Food and Agriculture","DKW COMMUNICATIONS INC",398866.04
"National Institute of Food and Agriculture","CELERITY GOVERNMENT SOLUTIONS LLC",308093.09
"National Institute of Food and Agriculture","GOVERNMENT ACQUISITIONS INC",300604.9
"National Institute of Food and Agriculture","TFC CONSULTING INC",287302.6
"National Institute of Food and Agriculture","DSFEDERAL INC",158138.02
"National Institute of Food and Agriculture","BEYOND THE BOTTOM LINE INC",153747.96
"National Institute of Standards and Technology","ACCENTURE FEDERAL SERVICES LLC",999062
"National Institute of Standards and Technology","ALLIANCE TECHNOLOGY GROUP LLC",990501.48
"National Institute of Standards and Technology","JESKELL SYSTEMS LLC",985877.34
"National Institute of Standards and Technology","JEOL USA INC",959161.63
"National Institute of Standards and Technology","NEW TECH SOLUTIONS INC",896323.36
"National Institute of Standards and Technology","ID TECHNOLOGIES LLC",890206.61
"National Institute of Standards and Technology","APPLIED TECHNOLOGY COUNCIL",872319
"National Institute of Standards and Technology","INSPECTION EXPERTS INC",856937.85
"National Institute of Standards and Technology","ACUMEN SOLUTIONS INC",856683.42
"National Institute of Standards and Technology","BENNU GROUP INC THE",850000
"National Institutes of Health","PINMED INC",999733
"National Institutes of Health","PUYENPA SERVICES LLC",996111.19
"National Institutes of Health","COMMUNICATION INSTITUTE INTERNATIONAL INC",993950.9
"National Institutes of Health","SUPREME SOLUTIONS INC",991911
"National Institutes of Health","GLOBAL CONSULTING SERVICES OF MARYLAND LLC",990142.6
"National Institutes of Health","EMPLOYMENT SOURCE INCORPORATED",977549.22
"National Institutes of Health","MYTHICS INC",976247.72
"National Institutes of Health","PORTER NOVELLI PUBLIC SERVICES INC",974721.7
"National Institutes of Health","NEOGENOMICS INC",973416.5
"National Institutes of Health","FRANKLIN YOUNG INTERNATIONAL INCORPORATED",969533.97
"National Labor Relations Board","AT&T MOBILITY LLC",575822.56
"National Labor Relations Board","ESCRIBERS LLC",485000
"National Labor Relations Board","BUREAU OF NATIONAL AFFAIRS INC THE",448032.5
"National Labor Relations Board","VERITEXT CORP",346719.84
"National Labor Relations Board","AT&T CORP",263160.62
"National Labor Relations Board","SOFTWARE INFORMATION RESOURCE CORP",253599.44
"National Labor Relations Board","DLT SOLUTIONS LLC",226250.09
"National Labor Relations Board","NEW TECH SOLUTIONS INC",209476.96
"National Labor Relations Board","CASTRO & COMPANY LLC",196992.08
"National Labor Relations Board","TRIAD TECHNOLOGY PARTNERS LLC",165331.32
"National Mediation Board","ADINO INC",212064
"National Mediation Board","ALLMOND & COMPANY LLC",74466.6
"National Mediation Board","DESIGN ARMY LLC",43750
"National Mediation Board","CCCOMPLETE INC",41311.45
"National Mediation Board","ALVAREZ LLC",38817.49
"National Mediation Board","WEST PUBLISHING CORPORATION",33858.36
"National Mediation Board","ALLIANCE TECHNOLOGY GROUP LLC",26348.16
"National Mediation Board","MERIDIAN IMAGING SOLUTIONS INC",23730
"National Mediation Board","PARK AMERICA INC",19800
"National Mediation Board","BLOOMBERG FINANCE LP",13865
"National Oceanic and Atmospheric Administration","LYNNE CARBONE & ASSOCIATES INC",997648.77
"National Oceanic and Atmospheric Administration","TOWER INSPECTION INC",996768.12
"National Oceanic and Atmospheric Administration","ALVAREZ LLC",986639.21
"National Oceanic and Atmospheric Administration","ID TECHNOLOGIES LLC",982601.26
"National Oceanic and Atmospheric Administration","PUCKETT MACHINERY COMPANY",980366.41
"National Oceanic and Atmospheric Administration","EC AMERICA INC",977516.05
"National Oceanic and Atmospheric Administration","EMERGENT LLC",974667.42
"National Oceanic and Atmospheric Administration","KAYMONT CONSOLIDATED INDUSTRIES INC",971875
"National Oceanic and Atmospheric Administration","CONFLUENCE CORPORATION",962956.21
"National Oceanic and Atmospheric Administration","VETERAN INFORMATION TECHNOLOGIES LLC",962512.45
"National Park Service","AAECON GENERAL CONTRACTING LLC",996065.08
"National Park Service","ACTS GROUP INC",983676.3
"National Park Service","LEONARD S FIORE INC",968358.26
"National Park Service","XL CONSTRUCTION LLC",965998
"National Park Service","COGAN TECHNOLOGY INC",960164.81
"National Park Service","YOSEMITE HOSPITALITY LLC",956106
"National Park Service","CINCOVEGA INC",951599.74
"National Park Service","LOUIS BERGER GROUP INC THE",945201.06
"National Park Service","COMPUMERIC ENGINEERING INC",935913.14
"National Park Service","E B MORRIS GENERAL CONTRACTORS INC",918773.43
"National Protection and Programs Directorate","KT CONSULTING INC",999683.38
"National Protection and Programs Directorate","GLOBAL NETWORK SYSTEMS OF MARYLAND INC",982600.49
"National Protection and Programs Directorate","OPTIMO INFORMATION TECHNOLOGY LLC",953519.58
"National Protection and Programs Directorate","OBXTEK INC",950779.73
"National Protection and Programs Directorate","GOVERNMENT ACQUISITIONS INC",894028.8
"National Protection and Programs Directorate","PBP MANAGEMENT GROUP INC",884330.64
"National Protection and Programs Directorate","TFC CONSULTING INC",856536
"National Protection and Programs Directorate","STRATEGIC SOLUTIONS UNLIMITED INC",829220.49
"National Protection and Programs Directorate","TECOLOTE RESEARCH INC",821754.31
"National Protection and Programs Directorate","CHEVO CONSULTING LLC",788072.26
"National Science Foundation","G2 GLOBAL SOLUTIONS LLC",998272
"National Science Foundation","GOVCONNECTION INC",992586.44
"National Science Foundation","ELSEVIER BV",960335
"National Science Foundation","CONCUR TECHNOLOGIES INC",953841.32
"National Science Foundation","KEARNEY & COMPANY PC",942668.32
"National Science Foundation","AGI MISSION SUPPORT SERVICES INC",895662.43
"National Science Foundation","WINDROSE VISION LLC",867142
"National Science Foundation","LINTECH GLOBAL INC",863102.04
"National Science Foundation","GRANT THORNTON LLP",841355.52
"National Science Foundation","VMD SYSTEMS INTEGRATORS INC",828265.87
"National Security Agency/Central Security Service","DELOITTE CONSULTING LLP",499800
"National Security Agency/Central Security Service","STRATEGIC VALUE SOLUTIONS INC",110299
"National Security Agency/Central Security Service","AL QABANDI UNITED FOR GENERAL TRADING AND CONT CO",58819.2
"National Security Agency/Central Security Service","AL-BAZ 2000 TRADING & CONTRA CTING COMPANY WLL",26175.6
"National Technical Information Service","FWG SOLUTIONS INC",725492
"National Technical Information Service","INQUISIT LLC",388699.88
"National Technical Information Service","CSP ENTERPRISES LLC",310094.39
"National Technical Information Service","ALVAREZ LLC",250058.18
"National Technical Information Service","DELL FEDERAL SYSTEMS LP",208431.78
"National Technical Information Service","THUNDERCAT TECHNOLOGY LLC",191895.6
"National Technical Information Service","CARAHSOFT TECHNOLOGY CORP",189938.61
"National Technical Information Service","IDEOGENICS LLC",184340
"National Technical Information Service","KO-AM ENTERPRISES INC",166384.56
"National Technical Information Service","RIGHTDIRECTION TECHNOLOGY SOLUTIONS LLC",137737.03
"National Telecommunications and Information Administration","CYBERMEDIA TECHNOLOGIES INC",672326.4
"National Telecommunications and Information Administration","DELL FEDERAL SYSTEMS LP",625034.49
"National Telecommunications and Information Administration","AEROFLEX WICHITA INC",611880
"National Telecommunications and Information Administration","GUARDIANS OF HONOR LLC",580991.76
"National Telecommunications and Information Administration","GLOBAL PCCI GPC",527244.69
"National Telecommunications and Information Administration","OSI FEDERAL TECHNOLOGIES INC",392560
"National Telecommunications and Information Administration","LANCER INFORMATION SOLUTIONS LLC",308808.06
"National Telecommunications and Information Administration","BIZFLOW CORP",306013.81
"National Telecommunications and Information Administration","FORCE 3 LLC",239852.07
"National Telecommunications and Information Administration","VALIANT SOLUTIONS LLC",219995.57
"National Transportation Safety Board","AMERICAN SECURITY PROGRAMS INC",606179.33
"National Transportation Safety Board","RGS ASSOCIATES INC",406250.71
"National Transportation Safety Board","INSIGHT PUBLIC SECTOR INC",377135.66
"National Transportation Safety Board","POTOMAC CREEK ASSOCIATES LLC",316611.25
"National Transportation Safety Board","INFORELIANCE LLC",262997.04
"National Transportation Safety Board","EZRA TECHNOLOGIES INC",223215
"National Transportation Safety Board","XEROX CORPORATION",215559
"National Transportation Safety Board","CISION US INC",208768
"National Transportation Safety Board","CLEARAVENUE LLC",196961.48
"National Transportation Safety Board","VAREX IMAGING CORPORATION",160000
"Natural Resources Conservation Service","ARCSOURCE GROUP INC",999878.56
"Natural Resources Conservation Service","NORTHERN ENGINEERING & CONSULTING INC NECI",932572
"Natural Resources Conservation Service","TARPAN CONSTRUCTION LLC",877673.58
"Natural Resources Conservation Service","MERRICK & COMPANY",876674.97
"Natural Resources Conservation Service","DDK ENGINEERING - JOINT VENTURE",876493
"Natural Resources Conservation Service","TETRA TECH INC",847502.77
"Natural Resources Conservation Service","WINSAY INC",828506.33
"Natural Resources Conservation Service","YOUR RECRUITING COMPANY INC",823670.88
"Natural Resources Conservation Service","CAMPBELL SCIENTIFIC INC",809882.27
"Natural Resources Conservation Service","NEW TECH SOLUTIONS INC",755296.9
"Northern Border Regional Commission","NATIONAL ASSOCIATION OF DEVELOPMENT ORGANIZATIONS RESEARCH FOUNDATION",65000
"Northern Border Regional Commission","SMART ASSISTIVE TECHNOLOGIES LLC",52845
"Northern Border Regional Commission","SCHROEDER CONSTRUCTION MANAGEMENT INC",23834
"Northern Border Regional Commission","RAVEN SERVICES CORPORATION",2938
"Nuclear Regulatory Commission","BLUE TECH INC",953822.36
"Nuclear Regulatory Commission","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",950093.92
"Nuclear Regulatory Commission","ADI STRATEGIES INCORPORATED",950000
"Nuclear Regulatory Commission","DIVERSIFIED SIGN LANGUAGE SERVICES LLC",937299.46
"Nuclear Regulatory Commission","CHENEGA LOGISTICS LLC",935525.14
"Nuclear Regulatory Commission","OAK RIDGE ASSOCIATED UNIVERSITIES INCORPORATED",915273.6
"Nuclear Regulatory Commission","WRIGHT BROS LLC",894194
"Nuclear Regulatory Commission","NEAL R GROSS AND COMPANY INC",893550
"Nuclear Regulatory Commission","STERLING COMPUTERS CORPORATION",843813.26
"Nuclear Regulatory Commission","DELL MARKETING LP",827660.92
"Occupational Safety and Health Administration","CELLCO PARTNERSHIP",775773.82
"Occupational Safety and Health Administration","NORTHSTAR TECHNOLOGY CORP",564449.87
"Occupational Safety and Health Administration","STAMPSCOM INC",399702
"Occupational Safety and Health Administration","DODGE DATA & ANALYTICS LLC",377469
"Occupational Safety and Health Administration","FYI - FOR YOUR INFORMATION INC",334000
"Occupational Safety and Health Administration","HIGHLIGHT TECHNOLOGIES LLC",325635.22
"Occupational Safety and Health Administration","NUAXIS LLC",323916.57
"Occupational Safety and Health Administration","EMERGENT LLC",301551.72
"Occupational Safety and Health Administration","ALL SAFE INDUSTRIES INC",298970.57
"Occupational Safety and Health Administration","OMNI BUSINESS SYSTEMS-FAX PLUS INC",285079.6
"Occupational Safety and Health Review Commission","QWEST GOVERNMENT SERVICES INC",175000
"Occupational Safety and Health Review Commission","DATAPRISE INC",153139.2
"Occupational Safety and Health Review Commission","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",136898.12
"Occupational Safety and Health Review Commission","HERITAGE REPORTING CORP",129500
"Occupational Safety and Health Review Commission","J KENT & ASSOCIATES INC",122236.2
"Occupational Safety and Health Review Commission","MICROPACT FEDERAL LLC",112077.46
"Occupational Safety and Health Review Commission","BERRY ANN THORNTON",107987.44
"Occupational Safety and Health Review Commission","LIBRARY ASSOCIATES OF MARYLAND LLC",88166.71
"Occupational Safety and Health Review Commission","JAMISON PROFESSIONAL SERVICES INC",88017.36
"Occupational Safety and Health Review Commission","PALMER STAFFING SERVICES INC",70818.84
"Office for Civil Rights","PRETLOW ROBERT",503517.27
"Office for Civil Rights","BROOKS RANGE CONTRACT SERVICES INC",-10
"Office of Administrative Law Judge","FCN INC",80402
"Office of Administrative Law Judges","TRUE INFORMATION ASSURANCE LLC",655909.74
"Office of Administrative Law Judges","BAYLEY REPORTING INC",486708
"Office of Administrative Law Judges","FREE STATE REPORTING INC",393925
"Office of Administrative Law Judges","JACKSON-RYHERD JUDITH MARIE",270028.64
"Office of Administrative Law Judges","CELLCO PARTNERSHIP",187273.26
"Office of Administrative Law Judges","RELX INC",53988
"Office of Administrative Law Judges","DELOITTE FINANCIAL ADVISORY SERVICES LLP",50000
"Office of Administrative Law Judges","MOI INC",34010.95
"Office of Administrative Law Judges","ACE PARKING MANAGEMENT INC",12480
"Office of Administrative Law Judges","EXPANSION PROGRAMS INTERNATIONAL INC",8880
"Office of Administrative Services","XEROX CORPORATION",837185.83
"Office of Administrative Services","QWEST GOVERNMENT SERVICES INC",739441.62
"Office of Administrative Services","CGI FEDERAL INC",536814.2
"Office of Administrative Services","MANAGEMENT CONCEPTS INC",410568.1
"Office of Administrative Services","LIONA ENTERPRISES INC",317842.24
"Office of Administrative Services","QUALITY LITIGATION SERVICES INC",278696.7
"Office of Administrative Services","COMMUNICATION INSTITUTE INTERNATIONAL INC",246406.67
"Office of Administrative Services","JOB ONE",234628.32
"Office of Administrative Services","PROVEN MANAGEMENT LLC",216644.1
"Office of Administrative Services","TELESOLV CONSULTING INC",211099.2
"Office of Advocacy and Outreach","CARAHSOFT TECHNOLOGY CORP",46556.69
"Office of Assistant Secretary for Planning and Evaluation","SBC GLOBAL SERVICES INC",112459.5
"Office of Assistant Secretary for Planning and Evaluation","STEELCASE INC",101063.86
"Office of Assistant Secretary for Planning and Evaluation","ELEVAR DESIGN GROUP INC",78000.08
"Office of Assistant Secretary for Planning and Evaluation","QWEST GOVERNMENT SERVICES INC",24062
"Office of Assistant Secretary for Planning and Evaluation","CARROLL INDEPENDENT FUEL LLC",19257.64
"Office of Assistant Secretary for Planning and Evaluation","AVIMAN MANAGEMENT LLC",16736.4
"Office of Assistant Secretary for Planning and Evaluation","SKY BLUE BUILDERS LLC",14347.55
"Office of Assistant Secretary for Planning and Evaluation","PATRIOT CONSTRUCTION INC",8404.68
"Office of Assistant Secretary for Planning and Evaluation","MISCELLANEOUS FOREIGN AWARDEES",4122.27
"Office of Assistant Secretary for Preparedness and Response","G2 GLOBAL SOLUTIONS LLC",919015.8
"Office of Assistant Secretary for Preparedness and Response","NOVARTIS PHARMACEUTICALS CORPORATION",893937
"Office of Assistant Secretary for Preparedness and Response","ALTIMMUNE INC",887875
"Office of Assistant Secretary for Preparedness and Response","PRENOSIS INC",749000
"Office of Assistant Secretary for Preparedness and Response","QUIDEL CORPORATION",746793
"Office of Assistant Secretary for Preparedness and Response","ZOLL MEDICAL CORPORATION",682837
"Office of Assistant Secretary for Preparedness and Response","INTEGRITY MANAGEMENT CONSULTING INC",616002.4
"Office of Assistant Secretary for Preparedness and Response","OPIANT PHARMACEUTICALS INC",611055
"Office of Assistant Secretary for Preparedness and Response","PAR STERILE PRODUCTS LLC",593181
"Office of Assistant Secretary for Preparedness and Response","CONTRACTING RESOURCES GROUP INC",590913.6
"Office of Assistant Secretary of Civil Rights","OBVERSE INC",758916.8
"Office of Assistant Secretary of Civil Rights","ATTAINX INC",550079
"Office of Assistant Secretary of Civil Rights","ICRIS LLC",300148.85
"Office of Assistant Secretary of Civil Rights","INQUEST SOLUTIONS INC",260800.57
"Office of Assistant Secretary of Civil Rights","MICROPACT FEDERAL LLC",222904.88
"Office of Assistant Secretary of Civil Rights","EAGLE HILL CONSULTING LLC",199444
"Office of Assistant Secretary of Civil Rights","HUMAN RESOURCES SELECT SERVICES",175000
"Office of Assistant Secretary of Civil Rights","PANUM TELECOM LLC",173057.75
"Office of Assistant Secretary of Civil Rights","BUSINESS DECISIONS INFORMATION INC",163178.95
"Office of Assistant Secretary of Civil Rights","MIND YOUR BUSINESS INC",135125.4
"Office of Budget and Program Analysis","B K M CONSTRUCTION LLC",102501.96
"Office of Budget and Program Analysis","FILEMAKER INC",13080
"Office of Budget and Program Analysis","HALTER FAITH",-3087.5
"Office of Chief Financial Officer","CREATIVE BUSINESS SOLUTIONS INC",845913
"Office of Chief Financial Officer","GRANT THORNTON LLP",749880
"Office of Chief Financial Officer","ANACAPA MICRO PRODUCTS INC",556687.13
"Office of Chief Financial Officer","VERDI CONSULTING INC",515023.09
"Office of Chief Financial Officer","CW GOVERNMENT TRAVEL INC",345212.29
"Office of Chief Financial Officer","MICROBASE CORPORATION",163866.09
"Office of Chief Financial Officer","FYI - FOR YOUR INFORMATION INC",157200
"Office of Chief Financial Officer","GLOBAL PRINTING SOURCE LLC",139980
"Office of Chief Financial Officer","PARKER TIDE CORP",79745.84
"Office of Chief Financial Officer","INTELLIGENT FISCAL OPTIMAL SOLUTIONS LLC",72200
"Office of Communication","DOUGHERTY & ASSOCIATES INC",416089.57
"Office of Communication","KETCHUM INCORPORATED",413762.89
"Office of Communication","OGILVY PUBLIC RELATIONS WORLDWIDE INC",293445.01
"Office of Communication","INSIGHT PUBLIC SECTOR INC",288477.48
"Office of Communication","KARTHIK CONSULTING LLC",226851.24
"Office of Communication","SWINGTECH CONSULTING INC",118328.21
"Office of Communication","THUNDERCAT TECHNOLOGY LLC",99066.6
"Office of Communication","AVID TECHNOLOGY INC",81752
"Office of Communication","WEBFIRST INC",55907.04
"Office of Communication","ENTERPRISE TECHNOLOGY SOLUTIONS INC",52300
"Office of Communications and Marketing","SCHATZ PUBLISHING GROUP LLC",692283.9
"Office of Communications and Marketing","BLUEWATER FEDERAL SOLUTIONS INC",589379.19
"Office of Communications and Marketing","FORUM ONE COMMUNICATIONS CORPORATION",338837.52
"Office of Communications and Marketing","SITEIMPROVE INC",22178.85
"Office of Communications and Marketing","LINKEDIN CORPORATION",10000
"Office of Communications and Marketing","LYNDACOM INC",-10000
"Office of Communications and Marketing","REDHAWK IT SOLUTIONS LLC",-60364.19
"Office of Congressional and Intergovernmental Affairs","K J JOHNSTON LTD",72903
"Office of Congressional and Intergovernmental Affairs","BIALEK CORPORATION OF MARYLAND THE",34743.4
"Office of Congressional and Intergovernmental Affairs","MISCELLANEOUS FOREIGN AWARDEES",14069.96
"Office of Congressional and Intergovernmental Affairs","AG PAINTING SERVICES",9875
"Office of Congressional and Intergovernmental Affairs","ALEUT O&M SERVICES LLC",9261.14
"Office of Ethics","BUCHANAN & EDWARDS INC",384439.62
"Office of Ethics","HRWORX LLC",377010
"Office of Ethics","AGGERWHIL SERYKAH",47222.4
"Office of Ethics","WILSON 5 SERVICE COMPANY INC",6705.01
"Office of Ethics","QUICKSERIES PUBLISHING INC",4725
"Office of Ethics","COMPLIANCE WAVE LLC",2750
"Office of Executive Secretariat","ACCENTURE FEDERAL SERVICES LLC",499890.8
"Office of Executive Secretariat","PALACE TRAVEL INC",108581.5
"Office of Executive Secretariat","COMPUCON INC",-3494
"Office of Federal Contract Compliance Program","WINDWALKER CORPORATION",731556.3
"Office of Federal Contract Compliance Program","BOOZ ALLEN HAMILTON INC",731494.4
"Office of Federal Contract Compliance Program","ECONSULT CORPORATION",697265.64
"Office of Federal Contract Compliance Program","ASSOCIATED VETERANS LLC - QUALITY SOLUTIONS",540220.59
"Office of Federal Contract Compliance Program","CARAHSOFT TECHNOLOGY CORP",431641.78
"Office of Federal Contract Compliance Program","OMNI BUSINESS SYSTEMS-FAX PLUS INC",341080.8
"Office of Federal Contract Compliance Program","NEW TECH SOLUTIONS INC",336934.03
"Office of Federal Contract Compliance Program","INFINISOURCE CONSULTING SOLUTIONS INC",164186
"Office of Federal Contract Compliance Program","INFORELIANCE LLC",147686
"Office of Federal Contract Compliance Program","3KPC INC",143094.83
"Office of General Counsel","LAW OFFICES OF GARY M GILBERT & ASSOCIATES PC THE",699735.55
"Office of General Counsel","SABRE88 LLC",491734.42
"Office of General Counsel","WEST PUBLISHING CORPORATION",470931.61
"Office of General Counsel","TRUETANDEM LLC",443257.86
"Office of General Counsel","AUROTECH INC",409685.84
"Office of General Counsel","GOVERNMENT ACQUISITIONS INC",285064
"Office of General Counsel","ALL-PRO PLACEMENT SERVICE INC",171322.56
"Office of General Counsel","MIDTOWN PERSONNEL INC",139595.56
"Office of General Counsel","CAMBIO CONSULTING GROUP LLC",126144
"Office of General Counsel","RELX INC",61464
"Office of Government Ethics","THUNDERCAT TECHNOLOGY LLC",184620.37
"Office of Government Ethics","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",56422.6
"Office of Government Ethics","KRIAANET INC",48943.96
"Office of Government Ethics","BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC",29641.9
"Office of Government Ethics","QWEST GOVERNMENT SERVICES INC",27361.64
"Office of Government Ethics","AT&T CORP",25139.46
"Office of Government Ethics","MINBURN TECHNOLOGY GROUP LLC",23595.22
"Office of Government Ethics","CQ-ROLL CALL INC",14615
"Office of Government Ethics","NEW TECH SOLUTIONS INC",12794
"Office of Government Ethics","CELLCO PARTNERSHIP",12784.06
"Office of Government-wide Policy","LOGISTICS MANAGEMENT INSTITUTE",927830.29
"Office of Government-wide Policy","DELOITTE CONSULTING LLP",868189.8
"Office of Government-wide Policy","MANAGEMENT CONCEPTS INC",855625
